shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4,39.9765567940193,0.010907202893321255,9
4,39.9766596193806,0.010429602316463615,10
4,39.97703432317999,0.008626086510957975,11
4,39.97717897475104,0.007977914300028033,12
4,39.97761815792714,0.0057400082580727485,13
4,39.97813750546024,0.0032223629759755568,14
4,39.978736756485404,0.0002299781930616973,15
4,39.97920032827611,-0.0020498110156665916,16
4,39.97980301757579,-0.005018687153125256,17
4,39.98041645155956,-0.008034389150509469,18
4,39.980977598316315,-0.010763528707371961,19
4,39.98122332017962,-0.012064424205902924,20
4,39.982299015576984,-0.017348863318545682,21
4,39.983077471268786,-0.021261142872873506,22
4,39.98366473642784,-0.024138105554158074,23
4,39.98410213284623,-0.0264480636323583,24
4,39.98438966117311,-0.027892219765675463,25
4,39.98444890969242,-0.028401660381007332,26
4,39.98460051596376,-0.02913170697686951,27
4,39.98487480147739,-0.030487433870490577,28
4,39.98527908305579,-0.032525200912289165,29
4,39.98567813353833,-0.0345015588667934,30
4,39.98600017537467,-0.03591580797083793,31
4,39.986331261578044,-0.036902849162260054,32
4,39.98688539067132,-0.039231700108501855,33
4,39.98738900988542,-0.041274672550343894,34
4,39.988164740142906,-0.04461028722840865,35
4,39.98868204311478,-0.04689596692946907,36
4,39.989148280869415,-0.04873649894310006,37
4,39.98966586370844,-0.050941509571885035,38
4,39.98979480594235,-0.0514873205746369,39
4,39.98993246064836,-0.05193080682465734,40
4,39.99000215912835,-0.05223328718938092,41
4,39.99041686366769,-0.05402767166660283,42
4,39.99080611497192,-0.055747491128897764,43
4,39.990818312145564,-0.055881664504056516,44
4,39.990978616463366,-0.05661398538822482,45
4,39.99153444596902,-0.059117915997802584,46
4,39.99211866970282,-0.061721214818476255,47
4,39.99243753104048,-0.0631721908007421,48
4,39.992538590166646,-0.06360429517454236,49
4,39.992684951306956,-0.06425701596273825,50
4,39.99274070784966,-0.06437755325114836,51
4,39.99292771434628,-0.06456087471028127,52
4,39.99299915215386,-0.06467231484467106,53
4,39.99414317396159,-0.06734879038035047,54
4,39.99422854932641,-0.06749661912985516,55
4,39.99433831749508,-0.06758304209139965,56
4,39.99447944773857,-0.06764672216840495,57
4,39.99459792722382,-0.06773996799486781,58
4,39.9947216335255,-0.06797194541837825,59
4,39.99475996501047,-0.06810385414900111,60
4,39.99474776863161,-0.06824486003364427,61
4,39.99465890923159,-0.06837676876426713,62
4,39.99445505487779,-0.068520048937188,63
5000,39.465292103074944,-0.377499612358406,1
5000,39.46341209975702,-0.3782795046162448,2
5000,39.461765519185946,-0.3788524866841101,3
5000,39.46103406727076,-0.37908307176266476,4
5000,39.458980608482136,-0.3798552384124605,5
5000,39.45700069276751,-0.3804558122763808,6
5000,39.45463060836758,-0.3810277875728332,7
5000,39.453209989883135,-0.3815711575005878,8
5000,39.45270380719856,-0.38191238401594774,9
5000,39.45214438114377,-0.38243669470449504,10
5000,39.451577589635605,-0.3827989457258525,11
5000,39.45096662738803,-0.3829896041574159,12
5000,39.44869939039711,-0.38384756607084114,13
5000,39.44816937791302,-0.3837713031241208,14
5000,39.44730192566908,-0.38355803075126005,15
5000,39.44649953095899,-0.38362476342638274,16
5000,39.44527751198805,-0.3839202839963036,17
5000,39.444556069034604,-0.3839012181528574,18
5000,39.44397449223422,-0.3836152305046312,19
5000,39.44353278508976,-0.3832625124050537,20
5000,39.443032180272525,-0.3824903457552864,21
5000,39.44275979084637,-0.381775376635062,22
5000,39.4424947622735,-0.3809460124548707,23
5000,39.442251818528746,-0.37956373882255434,24
5000,39.441883720332015,-0.3760746895142688,25
5000,39.44116224058328,-0.36852459185490716,26
5000,39.43895397533919,-0.34584182661075147,27
5000,39.43897676918746,-0.3451039722355631,28
5000,39.43922750102817,-0.343598749312207,29
5000,39.440070865140825,-0.34227061143755577,30
5000,39.44064069997674,-0.34141470036192345,31
5000,39.44166639093379,-0.3409129593874809,32
5000,39.443011162859534,-0.3409129593874809,33
5000,39.450782980017834,-0.3413851861877504,34
5000,39.451694608643976,-0.3417689755891615,35
5000,39.4529252406204,-0.34179848976458516,36
5000,39.45716391759473,-0.34094257868895284,37
5000,39.460787098787705,-0.3399095811029156,38
5000,39.46320246096411,-0.33805025906437436,39
5000,39.464751885951614,-0.33607280933949824,40
5000,39.46755443469456,-0.33474467146481857,41
5000,39.47076697366967,-0.3342134163149524,42
5000,39.47951527411897,-0.33232454934804423,43
5000,39.48129388372189,-0.3325272470625009,44
5000,39.48620190615392,-0.3314510812919593,45
5000,39.496739360527755,-0.32929863074613763,46
5000,39.51012490850013,-0.32683307287010166,47
5000,39.52884083900241,-0.32331270180341676,48
5000,39.542275889880926,-0.32052552567947146,49
5000,39.55600779822447,-0.3181976415343115,50
5000,39.56874634564204,-0.31557476923563854,51
5000,39.5818923666416,-0.3129866442404534,52
5000,39.59646942824796,-0.31027861988212635,53
5000,39.609226731300055,-0.3080886555264044,54
5000,39.61174627195297,-0.3075945823220252,55
5000,39.613126629733614,-0.30713004155026624,56
5000,39.614430275698055,-0.3067650452283317,57
5000,39.61540159088119,-0.30630051904995526,58
5000,39.617994470470336,-0.30462737206082124,59
5000,39.621454127846846,-0.30214013346866864,60
5000,39.62764249190931,-0.29763089823035216,61
5000,39.633916369314306,-0.2932984219679611,62
5000,39.64489221669487,-0.28549694984948815,63
5000,39.649496705596164,-0.283480415275676,64
5000,39.66101377307248,-0.27829502779260906,65
5000,39.667660231594255,-0.275815354822015,66
5000,39.667660231594255,-0.275815354822015,67
5000,39.66947738278654,-0.2752497059712482,68
5000,39.67442643152924,-0.27215780933821065,69
5000,39.68123796426036,-0.2673443426322706,70
5000,39.688132908400604,-0.2622146050365757,71
5000,39.7034075151177,-0.2512525079469299,72
5000,39.71740852489657,-0.24106338396805427,73
5000,39.73229836913745,-0.23006614075015364,74
5000,39.74597996738308,-0.2199930592798296,75
5000,39.75697420946335,-0.2120526038656294,76
5000,39.76521312991727,-0.20513799206150907,77
5000,39.77906657710949,-0.1931569611656414,78
5000,39.79237776279746,-0.18227482682470963,79
5000,39.8054699927732,-0.171031663617498,80
5000,39.80843904189351,-0.16808041726827128,81
5000,39.81146190851243,-0.16597230592734036,82
